product_id,category_name,weight_grams,photos_count,length_cm,height_cm,width_cm,total_orders,total_units_sold,total_revenue,avg_selling_price,first_sold_at,last_sold_at,revenue_rank,abc_category
e11092e9722d1b6f8c18cd8947a1daff,bebes,7450,2,45,25,45,2,13,319.6,79.9,2018-04-15 18:00:27,2018-04-17 21:08:59,8187,A - Top Performers
43724b27731595d954e911f443fb1cc4,construcao_ferramentas_construcao,2200,1,16,2,11,1,3,319.5,159.75,2018-07-28 14:57:50,2018-07-28 14:57:50,8194,A - Top Performers
9794fba8c8aa64ab4fece2d3cbe731e9,moveis_decoracao,1350,3,35,24,25,8,8,319.2,39.9,2017-09-10 00:34:50,2018-05-02 17:51:45,8195,A - Top Performers
ab330e1b64fde92d3b4d4d6980a38576,papelaria,150,2,16,5,15,7,9,319.2,39.9,2017-12-02 17:47:12,2018-03-05 08:58:05,8195,A - Top Performers
f67f7aa7e27d08018022abb4bdc90a38,cama_mesa_banho,750,3,32,9,24,5,11,319.2,39.9,2017-07-18 17:17:37,2017-12-10 16:02:45,8195,A - Top Performers
09c3d39641970009c198caed304ccfc4,bebes,300,1,68,7,13,8,9,319.2,39.9,2017-02-08 11:55:59,2018-05-02 11:58:28,8195,A - Top Performers
060ed45e8d50384910a47c9224931f56,informatica_acessorios,683,1,24,16,24,1,1,319.12,319.12,2017-12-01 11:10:01,2017-12-01 11:10:01,8199,A - Top Performers
5742ee1a5d941486111ab986f6611735,utilidades_domesticas,1875,1,43,45,40,6,11,319.0,39.875,2017-07-31 09:09:01,2018-08-14 17:09:50,8200,A - Top Performers
a0adc3041e9917104f3fea4ba995adcb,informatica_acessorios,5825,3,48,37,25,1,1,319.0,319.0,2017-12-18 23:10:55,2017-12-18 23:10:55,8200,A - Top Performers
9cd4e242b488f919520445a0623cc055,ferramentas_jardim,1800,6,25,35,22,1,1,319.0,319.0,2018-07-31 14:42:55,2018-07-31 14:42:55,8200,A - Top Performers
61a7263fdb4809852aef0552a2c38342,automotivo,6900,7,30,15,20,1,1,319.0,319.0,2018-07-04 16:28:49,2018-07-04 16:28:49,8200,A - Top Performers
83c3d4602324544954d73486c1a47455,informatica_acessorios,900,2,26,7,17,1,1,319.0,319.0,2017-07-17 16:18:44,2017-07-17 16:18:44,8200,A - Top Performers
6d034a9fd26095b72dd2c2060af17d5b,pet_shop,5000,1,40,35,35,1,1,319.0,319.0,2018-04-15 18:59:34,2018-04-15 18:59:34,8200,A - Top Performers
6c55ba2343f9df32c7f88a468352ff22,relogios_presentes,250,2,16,2,20,11,14,319.0,29.0,2017-03-16 11:12:22,2018-07-31 08:37:12,8200,A - Top Performers
e5bd04e8e3cb77f1a49404d588d3e528,cama_mesa_banho,600,1,26,2,20,10,11,319.0,31.9,2017-12-08 13:53:26,2018-03-21 12:31:02,8200,A - Top Performers
4c09470b433cef8a5790d7519849a282,automotivo,3250,1,30,30,20,1,1,319.0,319.0,2018-04-11 11:34:51,2018-04-11 11:34:51,8200,A - Top Performers
d4959e4f53f19c94abec965e966c7ca9,,1200,,20,20,20,1,1,319.0,319.0,2018-01-14 18:50:16,2018-01-14 18:50:16,8200,A - Top Performers
b140cc13107904067b325ad095709d6b,automotivo,11175,5,27,16,17,1,1,319.0,319.0,2018-05-19 07:28:01,2018-05-19 07:28:01,8200,A - Top Performers
63e0fba310acec294c78c0ad6e3d0e4a,relogios_presentes,275,1,22,12,16,2,2,319.0,159.5,2018-02-20 17:23:04,2018-08-16 14:26:06,8200,A - Top Performers
85ff0318897b49c9bba94fb1a099fb11,moveis_decoracao,4950,2,33,16,33,1,1,319.0,319.0,2018-01-04 12:02:33,2018-01-04 12:02:33,8200,A - Top Performers
08adf4f96646dd795d6f472ff1a1ece4,automotivo,250,4,16,6,15,1,1,318.98,318.98,2018-07-30 12:40:28,2018-07-30 12:40:28,8213,A - Top Performers
d96cd2197b0be40a66b1279c910e0921,automotivo,250,4,16,6,15,1,1,318.98,318.98,2018-05-21 19:17:27,2018-05-21 19:17:27,8213,A - Top Performers
cb3eca8ad99e38bf5287d408960623d9,automotivo,250,5,16,6,15,1,1,318.98,318.98,2018-05-30 14:54:26,2018-05-30 14:54:26,8213,A - Top Performers
81b454070eecf89b21503cd5d313aa57,automotivo,250,4,16,6,15,1,1,318.98,318.98,2018-05-11 11:03:40,2018-05-11 11:03:40,8213,A - Top Performers
28a0482239353fd069dcf3e6d625ed5b,perfumaria,424,2,19,13,14,3,3,318.9,106.3,2017-02-04 00:44:29,2017-12-04 16:24:13,8217,A - Top Performers
4d071a22b9cc548b64a75075a4c63151,eletrodomesticos,750,3,22,7,22,3,3,318.8,106.26666666666667,2018-06-03 19:44:12,2018-08-08 15:16:18,8218,A - Top Performers
58498763fb69f0f0bd09bad43b2ee3f4,cool_stuff,2800,4,16,34,48,2,2,318.8,159.4,2017-07-31 23:07:50,2017-08-15 16:17:41,8218,A - Top Performers
ba0aeab8fee0bfc98bb3bfbc321e6d9d,utilidades_domesticas,8600,1,35,35,35,3,3,318.68,106.22666666666667,2017-09-11 16:05:10,2018-02-27 12:31:06,8220,A - Top Performers
08c816d9a716567bf436173ef6f5f12e,eletronicos,150,1,18,12,15,16,17,318.24,19.89,2017-12-28 09:35:58,2018-06-20 15:27:17,8221,A - Top Performers
760bc344cfd2b318b8bf388fa995d3e4,eletrodomesticos,300,2,27,13,17,2,2,318.2,159.1,2017-06-20 16:12:48,2018-03-19 17:19:47,8222,A - Top Performers
1c21c11ea2efbcaa7ee31c3191300a58,perfumaria,600,2,22,16,16,1,1,318.14,318.14,2017-12-18 23:42:43,2017-12-18 23:42:43,8223,A - Top Performers
1cc5f038fa8645580602fb2423d3a50a,perfumaria,400,1,22,16,16,3,3,318.01,106.00333333333333,2017-10-10 18:40:36,2017-10-19 12:25:50,8224,A - Top Performers
6358f5d1f8bea46b44615a9eaad26f81,cama_mesa_banho,700,1,16,10,16,5,7,318.0,53.0,2017-11-29 10:34:08,2018-06-11 08:11:13,8225,A - Top Performers
0de59eddc63167215c972b0d785ffa7b,construcao_ferramentas_construcao,4100,1,26,8,26,1,7,318.0,159.0,2018-08-12 02:11:20,2018-08-12 02:11:20,8225,A - Top Performers
5dd65915a87e9031993b18e481a3cbe5,esporte_lazer,100,2,25,6,25,3,3,318.0,106.0,2017-09-18 01:59:56,2018-07-25 14:56:28,8225,A - Top Performers
d02b36afa0f4b273bb31f9e54c693531,automotivo,2100,6,30,25,30,2,2,318.0,159.0,2017-11-30 22:27:53,2017-12-11 09:10:20,8225,A - Top Performers
61472ba502ffe30e46fd1b0565087f95,beleza_saude,3600,1,41,10,22,2,2,318.0,159.0,2017-03-17 19:46:43,2017-04-26 12:29:35,8225,A - Top Performers
